entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-09-09 00:31:00+00:00,2025-09-09 00:47:00+00:00,111559.31498953424,111737.8098935175,18,18,0.546819612600816,73.1838647826662,0.0011994401119777398,0.26666666666666666
2025-09-09 02:08:00+00:00,2025-09-09 02:36:00+00:00,111203.1801329676,111381.10522118035,20,20,0.5368413801301052,71.61905892694631,0.0011994401119776491,0.4666666666666667
2025-09-09 01:26:00+00:00,2025-09-09 03:16:00+00:00,111381.10522118035,111559.31498953424,19,19,0.5414164568915026,72.34497888394253,0.0011994401119776428,1.8333333333333333
2025-09-09 01:15:00+00:00,2025-09-09 03:51:00+00:00,111559.31498953424,111737.8098935175,18,18,0.5464577001608791,73.13542805790348,0.0011994401119776528,2.6
2025-09-09 00:23:00+00:00,2025-09-09 04:19:00+00:00,111737.8098935175,111916.59038934713,17,17,0.5505395420099264,73.79961407430528,0.0011994401119776199,3.933333333333333
2025-09-09 00:22:00+00:00,2025-09-09 04:20:00+00:00,111916.59038934713,112095.65693397008,16,16,0.5542325997683412,74.41353851513122,0.0011994401119777194,3.966666666666667
2025-09-09 04:26:00+00:00,2025-09-09 04:56:00+00:00,111916.59038934713,112095.65693397008,16,16,0.5571272569667739,74.80218704466824,0.0011994401119776548,0.5
2025-09-09 05:12:00+00:00,2025-09-09 05:56:00+00:00,111916.59038934713,112095.65693397008,16,16,0.5575549881971354,74.8596159912704,0.001199440111977442,0.7333333333333333
2025-09-09 07:45:00+00:00,2025-09-09 07:50:00+00:00,112814.7927649479,112995.29643337181,11,11,0.5486405502655376,74.2539176503924,0.0011994401119776348,0.08333333333333333
2025-09-09 10:29:00+00:00,2025-09-09 10:39:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5448233827901648,73.61950469620933,0.001199440111977706,0.16666666666666666
2025-09-09 10:52:00+00:00,2025-09-09 12:20:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5456340601957027,73.72904784532875,0.0011994401119777244,1.4666666666666666
2025-09-09 12:41:00+00:00,2025-09-09 13:28:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5486258393390862,74.13331334797113,0.0011994401119776843,0.7833333333333333
2025-09-09 14:07:00+00:00,2025-09-09 14:10:00+00:00,112095.65693397008,112275.00998506443,15,15,0.5575595139855919,74.98000000001048,0.0011994401119777723,0.05
